name,provider,price,language_support,pros,cons,api_support,image_url,score_chat,score_code,score_translate,score_write,score_search,score_summarize,reviews
ChatGPT,OpenAI,유료/무료,다국어;한국어,높은 대화 품질,비용/일부 기능 제한,Yes,https://upload.wikimedia.org/wikipedia/commons/0/04/ChatGPT_logo.svg,4.8,4.5,4.2,4.7,4.0,4.6,"논문 요약이 쉬워졌어요!|코딩 질문에 답변이 빠름"
Claude 3 Opus,Anthropic,유료/무료,영어;한국어,긴 맥락 처리,한국어 지원 약함,Yes,https://assets-global.website-files.com/63e4c7b6b2b9b2b2b2b9b2b2/65e4c7b6b2b9b2b2b2b9b2b2_claude-logo.png,4.7,4.3,4.0,4.5,3.8,4.5,"긴 글도 잘 요약해줌|영어 답변이 자연스러움"
Gemini,Google,무료,다국어;한국어,구글 생태계 연동,일부 기능 미흡,Yes,https://upload.wikimedia.org/wikipedia/commons/6/6e/Google_Gemini_logo.svg,4.5,4.2,4.3,4.4,4.7,4.2,"구글 문서와 연동이 편리|검색 결과가 빠름"
Bard,Google,무료,다국어;한국어,빠른 정보 업데이트,정확성 이슈,Yes,https://upload.wikimedia.org/wikipedia/commons/6/6e/Google_Gemini_logo.svg,4.2,3.8,4.0,4.1,4.6,4.0,"최신 정보가 잘 나옴|번역이 빠름"
Llama 3,Meta,오픈소스,영어 중심,자유로운 커스터마이즈,상업적 사용 제한,Yes,https://upload.wikimedia.org/wikipedia/commons/4/4e/Meta_Platforms_Logo.png,4.0,4.1,3.7,3.9,3.5,3.8,"오픈소스라 자유로움|커스터마이즈가 쉬움"
Grok,X.AI,유료,영어,실시간 트렌드,한국어 지원 약함,Yes,https://grok.x.ai/static/media/grok-logo.2b7e2c7e.svg,4.3,4.0,3.5,4.0,4.8,4.1,"트위터/X 연동이 강점|실시간 정보가 빠름"
Perplexity,Perplexity AI,무료/유료,다국어,웹 검색 기반 답변,심층 대화 한계,Yes,https://pbs.twimg.com/profile_images/1636016722484674560/0wQ1r6pF_400x400.jpg,4.1,3.9,4.2,4.0,4.9,4.3,"검색 기반 답변이 신뢰감|요약이 정확함"
Mistral,Mistral AI,무료/유료,영어,빠른 응답,한국어 지원 약함,Yes,https://avatars.githubusercontent.com/u/139018532?s=200&v=4,4.0,4.2,3.8,3.9,3.7,3.8,"빠른 속도가 장점|코딩 답변이 좋음"
Pi,Inflection AI,무료,영어,감성 대화,기능 제한,No,https://pi.ai/static/media/pi-logo.2b7e2c7e.svg,4.6,3.2,3.0,4.2,2.8,3.5,"위로받는 느낌|상담에 적합"
Coze,Coze,무료,영어,챗봇 빌더,한국어 지원 약함,Yes,https://coze.com/favicon.ico,3.8,3.7,3.2,3.6,3.0,3.4,"챗봇 만들기 쉬움|비즈니스에 유용"
Qwen,Alibaba,무료/유료,중국어;영어,중국어 강점,글로벌 한계,Yes,https://qwen.com/favicon.ico,3.7,3.8,3.5,3.6,3.2,3.5,"중국어 번역에 강함|API가 편리"
Haiku,Anthropic,유료,영어,경량 모델,기능 제한,Yes,https://www.anthropic.com/favicon.ico,3.9,3.5,3.2,3.8,3.0,3.4,"빠른 속도|가벼운 작업에 적합"
Sonnet,Anthropic,유료,영어,중간급 모델,기능 제한,Yes,https://www.anthropic.com/favicon.ico,4.1,3.7,3.4,4.0,3.2,3.6,"적당한 성능|가격이 합리적"
GPT-4o,OpenAI,유료/무료,다국어;한국어,멀티모달,비용,Yes,https://upload.wikimedia.org/wikipedia/commons/0/04/ChatGPT_logo.svg,4.9,4.7,4.4,4.8,4.3,4.7,"이미지 인식이 강점|음성 입력이 편리"
